DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              12CO2                     12CO2_dry                 13CO2                     13CO2_dry                 CH4                       CH4_High_Precision        DasTemp                   Delta_2min                Delta_30s                 Delta_5min                Delta_Raw                 H2O                       MPVPosition               OutletValve               Ratio_2min                Ratio_30s                 Ratio_5min                Ratio_Raw                 SpectrumID                ch4_splinemax_for_correct peak87_baseave_spec       peak88_baseave            peak_75                   solenoid_valves           species                   
2017-11-15                02:57:28.476              318.12324626              7634.957910               1510714648.477            0                         4.1063793120E+002         4.2044812321E+002         4.6242056992E+000         4.7344256566E+000         1.7337591050E+000         0.0000000000E+000         4.6500000000E+001         -1.1888930631E+001        -1.1754160316E+001        -1.1777053333E+001        -9.9847918457E+000        1.8153492399E+000         0.0000000000E+000         2.0956150391E+004         1.1105724730E-002         1.1107248370E-002         1.1106989554E-002         1.1127251882E-002         1.1000000000E+001         3.7501874562E+002         2.4735729385E+002         7.3453072811E+000         1.8117257883E+002         0.0000000000E+000         1.1000000000E+001         
2017-11-15                02:57:29.478              318.12325785              7634.958188               1510714649.478            0                         4.1018251005E+002         4.1998184690E+002         4.5975955902E+000         4.7071812841E+000         1.7337591050E+000         0.0000000000E+000         4.6562500000E+001         -1.1888930631E+001        -1.1754160316E+001        -1.1777053333E+001        -9.9847918457E+000        1.8153492399E+000         0.0000000000E+000         2.0914509766E+004         1.1105724730E-002         1.1107248370E-002         1.1106989554E-002         1.1127251882E-002         1.0500000000E+002         3.7501874562E+002         2.4708358836E+002         7.3035178625E+000         1.8117257883E+002         0.0000000000E+000         1.0500000000E+002         
2017-11-15                02:57:30.500              318.12326969              7634.958472               1510714650.501            0                         4.1055536009E+002         4.2036358399E+002         4.6045105287E+000         4.7142610431E+000         1.7337591050E+000         0.0000000000E+000         4.6562500000E+001         -1.1902902968E+001        -1.1943959834E+001        -1.1762387537E+001        -1.3828666092E+001        1.8153492399E+000         0.0000000000E+000         2.0948859375E+004         1.1105566767E-002         1.1105102600E-002         1.1107155357E-002         1.1083795142E-002         1.0500000000E+002         3.7501874562E+002         2.4730766909E+002         7.3144003381E+000         1.8117257883E+002         0.0000000000E+000         1.0500000000E+002         
2017-11-15                02:57:31.661              318.12328312              7634.958795               1510714651.662            0                         4.1055536009E+002         4.2036358399E+002         4.6177837185E+000         4.7278506052E+000         1.7393893231E+000         0.0000000000E+000         4.6505597015E+001         -1.1920036836E+001        -1.1974960559E+001        -1.1766651296E+001        -1.2563974340E+001        1.8153492399E+000         0.0000000000E+000         2.0978026615E+004         1.1105373060E-002         1.1104752123E-002         1.1107107153E-002         1.1098093055E-002         2.9000000000E+001         3.7621561190E+002         2.4730766909E+002         7.3352438285E+000         1.8117257883E+002         0.0000000000E+000         2.9000000000E+001         
2017-11-15                02:57:32.822              318.12329655              7634.959117               1510714652.822            0                         4.1066131178E+002         4.2047206109E+002         4.5946757284E+000         4.7041918261E+000         1.7393893231E+000         0.0000000000E+000         4.6562500000E+001         -1.1920036836E+001        -1.1974960559E+001        -1.1766651296E+001        -1.2563974340E+001        1.8153492399E+000         0.0000000000E+000         2.0923924500E+004         1.1105373060E-002         1.1104752123E-002         1.1107107153E-002         1.1098093055E-002         1.0500000000E+002         3.7621561190E+002         2.4737134545E+002         7.2989996145E+000         1.8117257883E+002         0.0000000000E+000         1.0500000000E+002         
2017-11-15                02:57:33.827              318.12330818              7634.959396               1510714653.827            0                         4.1031867137E+002         4.2012125369E+002         4.6210491183E+000         4.7311938372E+000         1.7393893231E+000         0.0000000000E+000         4.6500000000E+001         -1.1913059741E+001        -1.2013691643E+001        -1.1777494944E+001        -1.3520809917E+001        1.8153492399E+000         0.0000000000E+000         2.0949019531E+004         1.1105451940E-002         1.1104314250E-002         1.1106984561E-002         1.1087275596E-002         1.0500000000E+002         3.7621561190E+002         2.4716542053E+002         7.3403454578E+000         1.8117257883E+002         0.0000000000E+000         1.0500000000E+002         
2017-11-15                02:57:34.830              318.12331980              7634.959675               1510714654.831            0                         4.1031875224E+002         4.2012002204E+002         4.6134781570E+000         4.7234276735E+000         1.7393893231E+000         0.0000000000E+000         4.6500000000E+001         -1.1897524151E+001        -1.1938751502E+001        -1.1771776708E+001        -1.0702466520E+001        1.8151208191E+000         0.0000000000E+000         2.0952341797E+004         1.1105627577E-002         1.1105161483E-002         1.1107049208E-002         1.1119138244E-002         1.1000000000E+001         3.7621561190E+002         2.4716546914E+002         7.3284582772E+000         1.8114978235E+002         0.0000000000E+000         1.1000000000E+001         
2017-11-15                02:57:35.820              318.12333126              7634.959950               1510714655.821            0                         4.1048109811E+002         4.2028623697E+002         4.6110248725E+000         4.7209159217E+000         1.7393893231E+000         0.0000000000E+000         4.6500000000E+001         -1.1897524151E+001        -1.1938751502E+001        -1.1771776708E+001        -1.0702466520E+001        1.8151208191E+000         0.0000000000E+000         2.0943540039E+004         1.1105627577E-002         1.1105161483E-002         1.1107049208E-002         1.1119138244E-002         1.0500000000E+002         3.7621561190E+002         2.4726303807E+002         7.3246240373E+000         1.8114978235E+002         0.0000000000E+000         1.0500000000E+002         
2017-11-15                02:57:36.814              318.12334277              7634.960226               1510714656.815            0                         4.1056941365E+002         4.2037665728E+002         4.6086894043E+000         4.7185247941E+000         1.7393893231E+000         0.0000000000E+000         4.6500000000E+001         -1.1904060829E+001        -1.1986387174E+001        -1.1774645034E+001        -1.2663520609E+001        1.8151208191E+000         0.0000000000E+000         2.0970680420E+004         1.1105553676E-002         1.1104622940E-002         1.1107016781E-002         1.1096967640E-002         1.0500000000E+002         3.7621561190E+002         2.4731611520E+002         7.3209679421E+000         1.8114978235E+002         0.0000000000E+000         1.0500000000E+002         
2017-11-15                02:57:37.976              318.12335621              7634.960549               1510714657.977            0                         4.1056941365E+002         4.2037665728E+002         4.6184757769E+000         4.7285443978E+000         1.7466890833E+000         0.0000000000E+000         4.6500000000E+001         -1.1906438768E+001        -1.1991083853E+001        -1.1776270968E+001        -1.2080320746E+001        1.8151208191E+000         0.0000000000E+000         2.0921247260E+004         1.1105526793E-002         1.1104569842E-002         1.1106998399E-002         1.1103560978E-002         2.9000000000E+001         3.7783337217E+002         2.4731611520E+002         7.3363478264E+000         1.8114978235E+002         0.0000000000E+000         2.9000000000E+001         
