DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              12CO2                     12CO2_dry                 13CO2                     13CO2_dry                 CH4                       CH4_High_Precision        DasTemp                   Delta_2min                Delta_30s                 Delta_5min                Delta_Raw                 H2O                       MPVPosition               OutletValve               Ratio_2min                Ratio_30s                 Ratio_5min                Ratio_Raw                 SpectrumID                ch4_splinemax_for_correct peak87_baseave_spec       peak88_baseave            peak_75                   solenoid_valves           species                   
2017-11-16                22:39:25.348              319.94404339              7678.657041               1510871965.349            0                         4.1936979883E+002         4.2259070393E+002         4.7124265232E+000         4.7485384549E+000         1.8107813852E+000         0.0000000000E+000         4.6437500000E+001         -1.2570874985E+001        -1.3033505064E+001        -1.2739783243E+001        -1.4934583773E+001        6.0955655367E-001         0.0000000000E+000         2.0944394531E+004         1.1098015040E-002         1.1092784798E-002         1.1096105456E-002         1.1071292242E-002         1.0500000000E+002         3.9165977143E+002         2.5260509597E+002         7.4355906923E+000         6.0833987393E+001         0.0000000000E+000         1.0500000000E+002         
2017-11-16                22:39:26.335              319.94405481              7678.657316               1510871966.336            0                         4.1957059947E+002         4.2279304333E+002         4.7101545072E+000         4.7462490281E+000         1.8107813852E+000         0.0000000000E+000         4.6437500000E+001         -1.2565103400E+001        -1.3030106870E+001        -1.2740974041E+001        -1.2282005876E+001        6.0955655367E-001         0.0000000000E+000         2.0963267578E+004         1.1098080291E-002         1.1092823216E-002         1.1096091993E-002         1.1101280836E-002         1.0500000000E+002         3.9165977143E+002         2.5272577600E+002         7.4320322576E+000         6.0833987393E+001         0.0000000000E+000         1.0500000000E+002         
2017-11-16                22:39:27.487              319.94406814              7678.657635               1510871967.487            0                         4.1957059947E+002         4.2279304333E+002         4.7077087439E+000         4.7437845226E+000         1.8489911562E+000         0.0000000000E+000         4.6437500000E+001         -1.2573889354E+001        -1.3040243320E+001        -1.2743590327E+001        -1.3232835859E+001        6.0955655367E-001         0.0000000000E+000         2.0932612757E+004         1.1097980962E-002         1.1092708619E-002         1.1096062415E-002         1.1090531273E-002         2.9000000000E+001         3.9996457013E+002         2.5272577600E+002         7.4283296065E+000         6.0833987393E+001         0.0000000000E+000         2.9000000000E+001         
2017-11-16                22:39:28.669              319.94408183              7678.657964               1510871968.670            0                         4.1931810510E+002         4.2253861407E+002         4.7090113045E+000         4.7450970650E+000         1.8489911562E+000         0.0000000000E+000         4.6437500000E+001         -1.2573889354E+001        -1.3040243320E+001        -1.2743590327E+001        -1.3232835859E+001        6.0955655367E-001         0.0000000000E+000         2.0972230469E+004         1.1097980962E-002         1.1092708619E-002         1.1096062415E-002         1.1090531273E-002         1.0500000000E+002         3.9996457013E+002         2.5257402834E+002         7.4303655062E+000         6.0833987393E+001         0.0000000000E+000         1.0500000000E+002         
2017-11-16                22:39:29.686              319.94409359              7678.658246               1510871969.686            0                         4.1930850070E+002         4.2252893607E+002         4.7197470857E+000         4.7559151158E+000         1.8489911562E+000         0.0000000000E+000         4.6375000000E+001         -1.2490354184E+001        -1.3099495419E+001        -1.2726097852E+001        -1.1517782461E+001        6.0955655367E-001         0.0000000000E+000         2.0943066406E+004         1.1098925364E-002         1.1092038747E-002         1.1096260176E-002         1.1109920728E-002         1.0500000000E+002         3.9996457013E+002         2.5256825615E+002         7.4472084294E+000         6.0833987393E+001         0.0000000000E+000         1.0500000000E+002         
2017-11-16                22:39:30.686              319.94410517              7678.658524               1510871970.687            0                         4.1930905393E+002         4.2252105761E+002         4.7166324860E+000         4.7526819692E+000         1.8489911562E+000         0.0000000000E+000         4.6437500000E+001         -1.2471275568E+001        -1.3065652297E+001        -1.2712619162E+001        -1.0704717281E+001        6.0799392848E-001         0.0000000000E+000         2.0966115234E+004         1.1099141057E-002         1.1092421359E-002         1.1096412558E-002         1.1119112798E-002         1.1000000000E+001         3.9996457013E+002         2.5256858864E+002         7.4422582603E+000         6.0678036774E+001         0.0000000000E+000         1.1000000000E+001         
2017-11-16                22:39:31.669              319.94411655              7678.658797               1510871971.670            0                         4.1961421062E+002         4.2282854664E+002         4.7142061095E+000         4.7502370477E+000         1.8489911562E+000         0.0000000000E+000         4.6437500000E+001         -1.2471275568E+001        -1.3065652297E+001        -1.2712619162E+001        -1.0704717281E+001        6.0799392848E-001         0.0000000000E+000         2.0941746094E+004         1.1099141057E-002         1.1092421359E-002         1.1096412558E-002         1.1119112798E-002         1.0500000000E+002         3.9996457013E+002         2.5275198605E+002         7.4384607974E+000         6.0678036774E+001         0.0000000000E+000         1.0500000000E+002         
2017-11-16                22:39:32.682              319.94412827              7678.659079               1510871972.683            0                         4.1921741182E+002         4.2242871508E+002         4.7044990823E+000         4.7404558292E+000         1.8489911562E+000         0.0000000000E+000         4.6375000000E+001         -1.2465746930E+001        -1.3060896612E+001        -1.2711510993E+001        -1.3256390517E+001        6.0799392848E-001         0.0000000000E+000         2.0975376953E+004         1.1099203561E-002         1.1092475124E-002         1.1096425087E-002         1.1090264977E-002         1.0500000000E+002         3.9996457013E+002         2.5251351226E+002         7.4232195589E+000         6.0678036774E+001         0.0000000000E+000         1.0500000000E+002         
2017-11-16                22:39:33.848              319.94414176              7678.659402               1510871973.848            0                         4.1921741182E+002         4.2242871508E+002         4.7116814612E+000         4.7476931035E+000         1.8595277633E+000         0.0000000000E+000         4.6375000000E+001         -1.2467399354E+001        -1.3037418339E+001        -1.2710871738E+001        -1.2591331144E+001        6.0799392848E-001         0.0000000000E+000         2.0914429250E+004         1.1099184879E-002         1.1092740556E-002         1.1096432314E-002         1.1097783774E-002         2.9000000000E+001         4.0223409078E+002         2.5251351226E+002         7.4345246397E+000         6.0678036774E+001         0.0000000000E+000         2.9000000000E+001         
2017-11-16                22:39:35.011              319.94415523              7678.659725               1510871975.012            0                         4.1921259366E+002         4.2242386010E+002         4.7045995821E+000         4.7405570971E+000         1.8595277633E+000         0.0000000000E+000         4.6375000000E+001         -1.2467399354E+001        -1.3037418339E+001        -1.2710871738E+001        -1.2591331144E+001        6.0799392848E-001         0.0000000000E+000         2.0974155762E+004         1.1099184879E-002         1.1092740556E-002         1.1096432314E-002         1.1097783774E-002         1.0500000000E+002         4.0223409078E+002         2.5251061657E+002         7.4234138340E+000         6.0678036774E+001         0.0000000000E+000         1.0500000000E+002         
2017-11-16                22:39:36.013              319.94416682              7678.660004               1510871976.013            0                         4.1919522304E+002         4.2240635671E+002         4.7003059128E+000         4.7362306111E+000         1.8595277633E+000         0.0000000000E+000         4.6375000000E+001         -1.2541948768E+001        -1.3284548272E+001        -1.2709635846E+001        -1.3757190392E+001        6.0799392848E-001         0.0000000000E+000         2.0971378540E+004         1.1098342064E-002         1.1089946641E-002         1.1096446286E-002         1.1084603207E-002         1.0500000000E+002         4.0223409078E+002         2.5250017693E+002         7.4166770309E+000         6.0678036774E+001         0.0000000000E+000         1.0500000000E+002         
