DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              12CO2                     12CO2_dry                 13CO2                     13CO2_dry                 CH4                       CH4_High_Precision        DasTemp                   Delta_2min                Delta_30s                 Delta_5min                Delta_Raw                 H2O                       MPVPosition               OutletValve               Ratio_2min                Ratio_30s                 Ratio_5min                Ratio_Raw                 SpectrumID                ch4_splinemax_for_correct peak87_baseave_spec       peak88_baseave            peak_75                   solenoid_valves           species                   
2017-11-15                07:11:21.042              318.29954911              7639.189179               1510729881.043            0                         4.0357454291E+002         4.1997204363E+002         4.5191855814E+000         4.7023753948E+000         1.6552219047E+000         0.0000000000E+000         4.6375000000E+001         -1.1559482193E+001        -1.1882430827E+001        -1.1365366883E+001        -1.2759680796E+001        2.9613216942E+000         0.0000000000E+000         2.0951006996E+004         1.1109449294E-002         1.1105798213E-002         1.1111643855E-002         1.1095880505E-002         2.9000000000E+001         3.5806603763E+002         2.4311223820E+002         7.2254716822E+000         2.9554108725E+002         0.0000000000E+000         2.9000000000E+001         
2017-11-15                07:11:22.200              318.29956251              7639.189500               1510729882.201            0                         4.0391373476E+002         4.2032498497E+002         4.5430006242E+000         4.7271558048E+000         1.6552219047E+000         0.0000000000E+000         4.6375000000E+001         -1.1559482193E+001        -1.1882430827E+001        -1.1365366883E+001        -1.2759680796E+001        2.9613216942E+000         0.0000000000E+000         2.0950298584E+004         1.1109449294E-002         1.1105798213E-002         1.1111643855E-002         1.1095880505E-002         1.0500000000E+002         3.5806603763E+002         2.4331609055E+002         7.2628848162E+000         2.9554108725E+002         0.0000000000E+000         1.0500000000E+002         
2017-11-15                07:11:23.203              318.29957412              7639.189779               1510729883.204            0                         4.0377729468E+002         4.2018301415E+002         4.5287475336E+000         4.7123249505E+000         1.6552219047E+000         0.0000000000E+000         4.6375000000E+001         -1.1589065981E+001        -1.2078954959E+001        -1.1368773952E+001        -1.2749116086E+001        2.9613216942E+000         0.0000000000E+000         2.0934873169E+004         1.1109114836E-002         1.1103576419E-002         1.1111605337E-002         1.1095999944E-002         1.0500000000E+002         3.5806603763E+002         2.4323409084E+002         7.2405032114E+000         2.9554108725E+002         0.0000000000E+000         1.0500000000E+002         
2017-11-15                07:11:24.188              318.29958552              7639.190052               1510729884.189            0                         4.0377669378E+002         4.2019280959E+002         4.5411285838E+000         4.7253248042E+000         1.6552219047E+000         0.0000000000E+000         4.6375000000E+001         -1.1578875727E+001        -1.2056276602E+001        -1.1375427374E+001        -1.2619617307E+001        2.9630189640E+000         0.0000000000E+000         2.0931160156E+004         1.1109230041E-002         1.1103832808E-002         1.1111530117E-002         1.1097463986E-002         1.1000000000E+001         3.5806603763E+002         2.4323372971E+002         7.2599954896E+000         2.9571047544E+002         0.0000000000E+000         1.1000000000E+001         
2017-11-15                07:11:25.178              318.29959697              7639.190327               1510729885.178            0                         4.0361226688E+002         4.2002171325E+002         4.5314024655E+000         4.7152041774E+000         1.6552219047E+000         0.0000000000E+000         4.6375000000E+001         -1.1578875727E+001        -1.2056276602E+001        -1.1375427374E+001        -1.2619617307E+001        2.9630189640E+000         0.0000000000E+000         2.0927753906E+004         1.1109230041E-002         1.1103832808E-002         1.1111530117E-002         1.1097463986E-002         1.0500000000E+002         3.5806603763E+002         2.4313491009E+002         7.2447120440E+000         2.9571047544E+002         0.0000000000E+000         1.0500000000E+002         
2017-11-15                07:11:26.189              318.29960867              7639.190608               1510729886.189            0                         4.0380878658E+002         4.2022620413E+002         4.5430956548E+000         4.7273716631E+000         1.6552219047E+000         0.0000000000E+000         4.6375000000E+001         -1.1557482303E+001        -1.1973942591E+001        -1.1360356814E+001        -1.1721734929E+001        2.9630189640E+000         0.0000000000E+000         2.0938015625E+004         1.1109471904E-002         1.1104763631E-002         1.1111700497E-002         1.1107614953E-002         1.0500000000E+002         3.5806603763E+002         2.4325301729E+002         7.2630863378E+000         2.9571047544E+002         0.0000000000E+000         1.0500000000E+002         
2017-11-15                07:11:27.356              318.29962218              7639.190932               1510729887.357            0                         4.0380878658E+002         4.2022620413E+002         4.5453613911E+000         4.7297293016E+000         1.6315856660E+000         0.0000000000E+000         4.6375000000E+001         -1.1546097602E+001        -1.1909857712E+001        -1.1356803028E+001        -1.0692245002E+001        2.9630189640E+000         0.0000000000E+000         2.0931472277E+004         1.1109600613E-002         1.1105488140E-002         1.1111740674E-002         1.1119253803E-002         2.9000000000E+001         3.5290912817E+002         2.4325301729E+002         7.2665575914E+000         2.9571047544E+002         0.0000000000E+000         2.9000000000E+001         
2017-11-15                07:11:28.502              318.29963545              7639.191251               1510729888.503            0                         4.0363238237E+002         4.2004264466E+002         4.5286904918E+000         4.7123822012E+000         1.6315856660E+000         0.0000000000E+000         4.6375000000E+001         -1.1546097602E+001        -1.1909857712E+001        -1.1356803028E+001        -1.0692245002E+001        2.9630189640E+000         0.0000000000E+000         2.0952113281E+004         1.1109600613E-002         1.1105488140E-002         1.1111740674E-002         1.1119253803E-002         1.0500000000E+002         3.5290912817E+002         2.4314699938E+002         7.2403768090E+000         2.9571047544E+002         0.0000000000E+000         1.0500000000E+002         
2017-11-15                07:11:29.521              318.29964724              7639.191534               1510729889.522            0                         4.0406573503E+002         4.2049357487E+002         4.5192180660E+000         4.7025255570E+000         1.6315856660E+000         0.0000000000E+000         4.6375000000E+001         -1.1589675665E+001        -1.2015747058E+001        -1.1402343749E+001        -1.4647015766E+001        2.9630189640E+000         0.0000000000E+000         2.0951255859E+004         1.1109107943E-002         1.1104291013E-002         1.1111225815E-002         1.1074543328E-002         1.0500000000E+002         3.5290912817E+002         2.4340744183E+002         7.2255796363E+000         2.9571047544E+002         0.0000000000E+000         1.0500000000E+002         
2017-11-15                07:11:30.513              318.29965872              7639.191809               1510729890.513            0                         4.0406543210E+002         4.2049851735E+002         4.5441194937E+000         4.7284960213E+000         1.6315856660E+000         0.0000000000E+000         4.6375000000E+001         -1.1621684655E+001        -1.2040885954E+001        -1.1416279999E+001        -1.4022358854E+001        2.9638746237E+000         0.0000000000E+000         2.0930486328E+004         1.1108746067E-002         1.1104006806E-002         1.1111068260E-002         1.1081605358E-002         1.1000000000E+001         3.5290912817E+002         2.4340725977E+002         7.2646813382E+000         2.9579587063E+002         0.0000000000E+000         1.1000000000E+001         
2017-11-15                07:11:31.498              318.29967012              7639.192083               1510729891.498            0                         4.0419678374E+002         4.2063519855E+002         4.5390337203E+000         4.7232038938E+000         1.6315856660E+000         0.0000000000E+000         4.6375000000E+001         -1.1621684655E+001        -1.2040885954E+001        -1.1416279999E+001        -1.4022358854E+001        2.9638746237E+000         0.0000000000E+000         2.0915306152E+004         1.1108746067E-002         1.1104006806E-002         1.1111068260E-002         1.1081605358E-002         1.0500000000E+002         3.5290912817E+002         2.4348620135E+002         7.2567217393E+000         2.9579587063E+002         0.0000000000E+000         1.0500000000E+002         
