DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              12CO2                     12CO2_dry                 13CO2                     13CO2_dry                 CH4                       CH4_High_Precision        DasTemp                   Delta_2min                Delta_30s                 Delta_5min                Delta_Raw                 H2O                       MPVPosition               OutletValve               Ratio_2min                Ratio_30s                 Ratio_5min                Ratio_Raw                 SpectrumID                ch4_splinemax_for_correct peak87_baseave_spec       peak88_baseave            peak_75                   solenoid_valves           species                   
2018-02-03                02:03:04.803              33.08547226               794.051334                1517623384.803            0                         3.9889791448E+002         4.0074192262E+002         4.4666969485E+000         4.4872967458E+000         1.8133164695E+000         0.0000000000E+000         4.6187500000E+001         -1.2061196646E+001        -1.2427004658E+001        -1.2310992581E+001        -1.4135417782E+001        3.7001240872E-001         0.0000000000E+000         2.1218966666E+004         1.1103777185E-002         1.1099641560E-002         1.1100953129E-002         1.1080327175E-002         2.9000000000E+001         3.9215808869E+002         2.4030161146E+002         7.0399286709E+000         3.6927386100E+001         0.0000000000E+000         2.9000000000E+001         
2018-02-03                02:03:05.966              33.08548572               794.051657                1517623385.966            0                         3.9905871587E+002         4.0090346560E+002         4.5064778584E+000         4.5272611198E+000         1.8133164695E+000         0.0000000000E+000         4.6187500000E+001         -1.2061196646E+001        -1.2427004658E+001        -1.2310992581E+001        -1.4135417782E+001        3.7001240872E-001         0.0000000000E+000         2.1235489258E+004         1.1103777185E-002         1.1099641560E-002         1.1100953129E-002         1.1080327175E-002         1.0500000000E+002         3.9215808869E+002         2.4039825217E+002         7.1023433412E+000         3.6927386100E+001         0.0000000000E+000         1.0500000000E+002         
2018-02-03                02:03:06.979              33.08549745               794.051939                1517623386.979            0                         3.9921052803E+002         4.0105597791E+002         4.4817168739E+000         4.5023859411E+000         1.8133164695E+000         0.0000000000E+000         4.6187500000E+001         -1.2042714316E+001        -1.2133997327E+001        -1.2302785741E+001        -9.9875039272E+000        3.7001240872E-001         0.0000000000E+000         2.1211318359E+004         1.1103986136E-002         1.1102954140E-002         1.1101045911E-002         1.1127221220E-002         1.0500000000E+002         3.9215808869E+002         2.4048949041E+002         7.0634989828E+000         3.6927386100E+001         0.0000000000E+000         1.0500000000E+002         
2018-02-03                02:03:07.997              33.08550923               794.052222                1517623387.998            0                         3.9921020639E+002         4.0106024615E+002         4.4640991620E+000         4.4847381998E+000         1.8133164695E+000         0.0000000000E+000         4.6187500000E+001         -1.2061554835E+001        -1.2262211817E+001        -1.2317118948E+001        -1.4997428634E+001        3.7092089703E-001         0.0000000000E+000         2.1203548516E+004         1.1103773135E-002         1.1101504617E-002         1.1100883867E-002         1.1070581752E-002         1.1000000000E+001         3.9215808869E+002         2.4048929711E+002         7.0358949429E+000         3.7018053596E+001         0.0000000000E+000         1.1000000000E+001         
2018-02-03                02:03:08.974              33.08552054               794.052493                1517623388.975            0                         3.9955001425E+002         4.0140162505E+002         4.4854436823E+000         4.5061814031E+000         1.8133164695E+000         0.0000000000E+000         4.6187500000E+001         -1.2061554835E+001        -1.2262211817E+001        -1.2317118948E+001        -1.4997428634E+001        3.7092089703E-001         0.0000000000E+000         2.1236669922E+004         1.1103773135E-002         1.1101504617E-002         1.1100883867E-002         1.1070581752E-002         1.0500000000E+002         3.9215808869E+002         2.4069351967E+002         7.0693883387E+000         3.7018053596E+001         0.0000000000E+000         1.0500000000E+002         
2018-02-03                02:03:09.982              33.08553220               794.052773                1517623389.982            0                         3.9897029339E+002         4.0081922395E+002         4.4762277650E+000         4.4969228775E+000         1.8133164695E+000         0.0000000000E+000         4.6187500000E+001         -1.2075632993E+001        -1.2345204920E+001        -1.2349934695E+001        -1.4096428547E+001        3.7092089703E-001         0.0000000000E+000         2.1213013367E+004         1.1103613975E-002         1.1100566343E-002         1.1100512870E-002         1.1080767966E-002         1.0500000000E+002         3.9215808869E+002         2.4034511078E+002         7.0549189021E+000         3.7018053596E+001         0.0000000000E+000         1.0500000000E+002         
2018-02-03                02:03:11.135              33.08554555               794.053093                1517623391.135            0                         3.9897029339E+002         4.0081922395E+002         4.4759909670E+000         4.4966849847E+000         1.8084722012E+000         0.0000000000E+000         4.6187500000E+001         -1.2097171483E+001        -1.2413572586E+001        -1.2357182693E+001        -1.3712558237E+001        3.7092089703E-001         0.0000000000E+000         2.1200619578E+004         1.1103370473E-002         1.1099793415E-002         1.1100430929E-002         1.1085107794E-002         2.9000000000E+001         3.9112234356E+002         2.4034511078E+002         7.0545306206E+000         3.7018053596E+001         0.0000000000E+000         2.9000000000E+001         
2018-02-03                02:03:12.278              33.08555878               794.053411                1517623392.278            0                         3.9879483626E+002         4.0064295562E+002         4.4765965814E+000         4.4972933991E+000         1.8084722012E+000         0.0000000000E+000         4.6187500000E+001         -1.2097171483E+001        -1.2413572586E+001        -1.2357182693E+001        -1.3712558237E+001        3.7092089703E-001         0.0000000000E+000         2.1210709229E+004         1.1103370473E-002         1.1099793415E-002         1.1100430929E-002         1.1085107794E-002         1.0500000000E+002         3.9112234356E+002         2.4023966205E+002         7.0554775176E+000         3.7018053596E+001         0.0000000000E+000         1.0500000000E+002         
2018-02-03                02:03:13.295              33.08557055               794.053693                1517623393.295            0                         3.9950418214E+002         4.0135558104E+002         4.4922691773E+000         4.5130384547E+000         1.8084722012E+000         0.0000000000E+000         4.6187500000E+001         -1.2051170345E+001        -1.2411464374E+001        -1.2319882705E+001        -1.1455469651E+001        3.7092089703E-001         0.0000000000E+000         2.1249125000E+004         1.1103890537E-002         1.1099817250E-002         1.1100852622E-002         1.1110625203E-002         1.0500000000E+002         3.9112234356E+002         2.4066597483E+002         7.0800791416E+000         3.7018053596E+001         0.0000000000E+000         1.0500000000E+002         
2018-02-03                02:03:14.306              33.08558225               794.053974                1517623394.306            0                         3.9950455752E+002         4.0135059563E+002         4.4850669066E+000         4.5057428242E+000         1.8084722012E+000         0.0000000000E+000         4.6187500000E+001         -1.2048704074E+001        -1.2377477381E+001        -1.2319630947E+001        -1.2272552218E+001        3.6986059230E-001         0.0000000000E+000         2.1206257813E+004         1.1103918419E-002         1.1100201488E-002         1.1100855468E-002         1.1101387714E-002         1.1000000000E+001         3.9112234356E+002         2.4066620044E+002         7.0687374079E+000         3.6912234761E+001         0.0000000000E+000         1.1000000000E+001         
