DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              12CO2                     12CO2_dry                 13CO2                     13CO2_dry                 CH4                       CH4_High_Precision        DasTemp                   Delta_2min                Delta_30s                 Delta_5min                Delta_Raw                 H2O                       MPVPosition               OutletValve               Ratio_2min                Ratio_30s                 Ratio_5min                Ratio_Raw                 SpectrumID                ch4_splinemax_for_correct peak87_baseave_spec       peak88_baseave            peak_75                   solenoid_valves           species                   
2018-02-08                06:42:07.648              38.27925519               918.702125                1518072127.648            0                         4.1125483509E+002         4.1269692083E+002         4.6245926936E+000         4.6407719923E+000         1.8057918070E+000         0.0000000000E+000         4.6187500000E+001         -1.2934666659E+001        -1.2915480495E+001        -1.2905349016E+001        -1.1079232711E+001        2.8158045033E-001         0.0000000000E+000         2.1194673828E+004         1.1093902211E-002         1.1094119119E-002         1.1094233660E-002         1.1114878732E-002         1.0500000000E+002         3.9056777380E+002         2.4772804953E+002         7.2842797609E+000         2.8101841350E+001         0.0000000000E+000         1.0500000000E+002         
2018-02-08                06:42:08.806              38.27926859               918.702446                1518072128.806            0                         4.1125483509E+002         4.1269692083E+002         4.6101717721E+000         4.6263006187E+000         1.8227303780E+000         0.0000000000E+000         4.6187500000E+001         -1.2933499411E+001        -1.2914899262E+001        -1.2905341157E+001        -1.2903855836E+001        2.8158045033E-001         0.0000000000E+000         2.1173633658E+004         1.1093915407E-002         1.1094125690E-002         1.1094233749E-002         1.1094250541E-002         2.9000000000E+001         3.9425439439E+002         2.4772804953E+002         7.2617146831E+000         2.8101841350E+001         0.0000000000E+000         2.9000000000E+001         
2018-02-08                06:42:09.951              38.27928185               918.702764                1518072129.952            0                         4.1059672211E+002         4.1203650542E+002         4.5920351987E+000         4.6081005939E+000         1.8227303780E+000         0.0000000000E+000         4.6250000000E+001         -1.2933499411E+001        -1.2914899262E+001        -1.2905341157E+001        -1.2903855836E+001        2.8158045033E-001         0.0000000000E+000         2.1154773438E+004         1.1093915407E-002         1.1094125690E-002         1.1094233749E-002         1.1094250541E-002         1.0500000000E+002         3.9425439439E+002         2.4733252743E+002         7.2332512365E+000         2.8101841350E+001         0.0000000000E+000         1.0500000000E+002         
2018-02-08                06:42:10.947              38.27929338               918.703041                1518072130.948            0                         4.1134676353E+002         4.1278917088E+002         4.6222440404E+000         4.6384151223E+000         1.8227303780E+000         0.0000000000E+000         4.6187500000E+001         -1.2938137117E+001        -1.2995146326E+001        -1.2915976362E+001        -1.3519212392E+001        2.8158045033E-001         0.0000000000E+000         2.1198360352E+004         1.1093862976E-002         1.1093218461E-002         1.1094113513E-002         1.1087293656E-002         1.0500000000E+002         3.9425439439E+002         2.4778329800E+002         7.2806559835E+000         2.8101841350E+001         0.0000000000E+000         1.0500000000E+002         
2018-02-08                06:42:11.920              38.27930463               918.703311                1518072131.920            0                         4.1134687299E+002         4.1278768096E+002         4.6242977594E+000         4.6404580830E+000         1.8227303780E+000         0.0000000000E+000         4.6187500000E+001         -1.2905691088E+001        -1.2939188371E+001        -1.2908563149E+001        -1.1875987224E+001        2.8127126591E-001         0.0000000000E+000         2.1187843750E+004         1.1094229793E-002         1.1093851091E-002         1.1094197323E-002         1.1105871061E-002         1.1000000000E+001         3.9425439439E+002         2.4778336378E+002         7.2838655476E+000         2.8070984621E+001         0.0000000000E+000         1.1000000000E+001         
2018-02-08                06:42:12.884              38.27931579               918.703579                1518072132.885            0                         4.1082874789E+002         4.1226774519E+002         4.6036183236E+000         4.6197063798E+000         1.8227303780E+000         0.0000000000E+000         4.6187500000E+001         -1.2905691088E+001        -1.2939188371E+001        -1.2908563149E+001        -1.1875987224E+001        2.8127126591E-001         0.0000000000E+000         2.1184445313E+004         1.1094229793E-002         1.1093851091E-002         1.1094197323E-002         1.1105871061E-002         1.0500000000E+002         3.9425439439E+002         2.4747197359E+002         7.2514146124E+000         2.8070984621E+001         0.0000000000E+000         1.0500000000E+002         
2018-02-08                06:42:13.871              38.27932721               918.703853                1518072133.871            0                         4.1136576959E+002         4.1280664359E+002         4.6253289646E+000         4.6414928919E+000         1.8227303780E+000         0.0000000000E+000         4.6187500000E+001         -1.2891626999E+001        -1.2784091481E+001        -1.2909028501E+001        -1.2511606770E+001        2.8127126591E-001         0.0000000000E+000         2.1166875000E+004         1.1094388794E-002         1.1095604531E-002         1.1094192062E-002         1.1098685094E-002         1.0500000000E+002         3.9425439439E+002         2.4779472053E+002         7.2854836557E+000         2.8070984621E+001         0.0000000000E+000         1.0500000000E+002         
2018-02-08                06:42:15.031              38.27934064               918.704175                1518072135.031            0                         4.1136576959E+002         4.1280664359E+002         4.6110558621E+000         4.6271699099E+000         1.8183783640E+000         0.0000000000E+000         4.6187500000E+001         -1.2912881419E+001        -1.2794920326E+001        -1.2909510816E+001        -1.3000668385E+001        2.8127126591E-001         0.0000000000E+000         2.1182570444E+004         1.1094148503E-002         1.1095482106E-002         1.1094186609E-002         1.1093156031E-002         2.9000000000E+001         3.9332391385E+002         2.4779472053E+002         7.2630757193E+000         2.8070984621E+001         0.0000000000E+000         2.9000000000E+001         
2018-02-08                06:42:16.186              38.27935401               918.704496                1518072136.186            0                         4.1136624454E+002         4.1280712020E+002         4.6016601144E+000         4.6177413273E+000         1.8183783640E+000         0.0000000000E+000         4.6187500000E+001         -1.2912881419E+001        -1.2794920326E+001        -1.2909510816E+001        -1.3000668385E+001        2.8127126591E-001         0.0000000000E+000         2.1176359375E+004         1.1094148503E-002         1.1095482106E-002         1.1094186609E-002         1.1093156031E-002         1.0500000000E+002         3.9332391385E+002         2.4779500597E+002         7.2483348707E+000         2.8070984621E+001         0.0000000000E+000         1.0500000000E+002         
2018-02-08                06:42:17.176              38.27936547               918.704771                1518072137.176            0                         4.1160530894E+002         4.1304702005E+002         4.6101669187E+000         4.6262778599E+000         1.8183783640E+000         0.0000000000E+000         4.6250000000E+001         -1.2907119833E+001        -1.2937383706E+001        -1.2925087554E+001        -1.5609941307E+001        2.8127126591E-001         0.0000000000E+000         2.1187781250E+004         1.1094213640E-002         1.1093871493E-002         1.1094010507E-002         1.1063657019E-002         1.0500000000E+002         3.9332391385E+002         2.4793868230E+002         7.2616844259E+000         2.8070984621E+001         0.0000000000E+000         1.0500000000E+002         
