DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              12CO2                     12CO2_dry                 13CO2                     13CO2_dry                 CH4                       CH4_High_Precision        DasTemp                   Delta_2min                Delta_30s                 Delta_5min                Delta_Raw                 H2O                       MPVPosition               OutletValve               Ratio_2min                Ratio_30s                 Ratio_5min                Ratio_Raw                 SpectrumID                ch4_splinemax_for_correct peak87_baseave_spec       peak88_baseave            peak_75                   solenoid_valves           species                   
2018-02-08                23:40:42.295              38.98660064               935.678415                1518133242.295            0                         4.0088493194E+002         4.1724741419E+002         4.5105166648E+000         4.6941858120E+000         1.8069697402E+000         0.0000000000E+000         4.6250000000E+001         -1.2342201482E+001        -1.2098340583E+001        -1.2308910782E+001        -1.2654707676E+001        2.9734579657E+000         0.0000000000E+000         2.1211636719E+004         1.1100600298E-002         1.1103357256E-002         1.1100976664E-002         1.1097067274E-002         1.0500000000E+002         3.9078256171E+002         2.4149579751E+002         7.2124874060E+000         2.9675229198E+002         0.0000000000E+000         1.0500000000E+002         
2018-02-08                23:40:43.270              38.98661193               935.678686                1518133243.271            0                         4.0088537073E+002         4.1724031011E+002         4.4993057264E+000         4.6824337036E+000         1.8069697402E+000         0.0000000000E+000         4.6250000000E+001         -1.2339130287E+001        -1.2130581761E+001        -1.2311829634E+001        -1.2108790682E+001        2.9722185824E+000         0.0000000000E+000         2.1244917969E+004         1.1100635019E-002         1.1102992755E-002         1.1100943665E-002         1.1103239113E-002         1.1000000000E+001         3.9078256171E+002         2.4149606122E+002         7.1948493761E+000         2.9662860104E+002         0.0000000000E+000         1.1000000000E+001         
2018-02-08                23:40:44.255              38.98662333               935.678960                1518133244.255            0                         4.0104225588E+002         4.1740358070E+002         4.5072375648E+000         4.6906883788E+000         1.8069697402E+000         0.0000000000E+000         4.6250000000E+001         -1.2339130287E+001        -1.2130581761E+001        -1.2311829634E+001        -1.2108790682E+001        2.9722185824E+000         0.0000000000E+000         2.1195575195E+004         1.1100635019E-002         1.1102992755E-002         1.1100943665E-002         1.1103239113E-002         1.0500000000E+002         3.9078256171E+002         2.4159034829E+002         7.2073167600E+000         2.9662860104E+002         0.0000000000E+000         1.0500000000E+002         
2018-02-08                23:40:45.264              38.98663501               935.679240                1518133245.265            0                         4.0058015056E+002         4.1692266705E+002         4.4996124782E+000         4.6827529406E+000         1.8069697402E+000         0.0000000000E+000         4.6250000000E+001         -1.2364143835E+001        -1.2200057371E+001        -1.2330659439E+001        -1.2814889755E+001        2.9722185824E+000         0.0000000000E+000         2.1224074219E+004         1.1100352230E-002         1.1102207301E-002         1.1100730786E-002         1.1095256343E-002         1.0500000000E+002         3.9078256171E+002         2.4131262565E+002         7.1952854308E+000         2.9662860104E+002         0.0000000000E+000         1.0500000000E+002         
2018-02-08                23:40:46.431              38.98664852               935.679564                1518133246.432            0                         4.0058015056E+002         4.1692266705E+002         4.5097352581E+000         4.6932877317E+000         1.8715240989E+000         0.0000000000E+000         4.6250000000E+001         -1.2351440398E+001        -1.2159988634E+001        -1.2334197175E+001        -1.1398682634E+001        2.9722185824E+000         0.0000000000E+000         2.1226009649E+004         1.1100495848E-002         1.1102660297E-002         1.1100690790E-002         1.1111267206E-002         2.9000000000E+001         4.0488961481E+002         2.4131262565E+002         7.2113951379E+000         2.9662860104E+002         0.0000000000E+000         2.9000000000E+001         
2018-02-08                23:40:47.604              38.98666209               935.679890                1518133247.604            0                         4.0034277359E+002         4.1667562852E+002         4.4994133165E+000         4.6825456727E+000         1.8715240989E+000         0.0000000000E+000         4.6250000000E+001         -1.2351440398E+001        -1.2159988634E+001        -1.2334197175E+001        -1.1398682634E+001        2.9722185824E+000         0.0000000000E+000         2.1226464844E+004         1.1100495848E-002         1.1102660297E-002         1.1100690790E-002         1.1111267206E-002         1.0500000000E+002         4.0488961481E+002         2.4116996347E+002         7.1951660341E+000         2.9662860104E+002         0.0000000000E+000         1.0500000000E+002         
2018-02-08                23:40:48.604              38.98667366               935.680168                1518133248.604            0                         4.0094321363E+002         4.1730050729E+002         4.4895390132E+000         4.6722694717E+000         1.8715240989E+000         0.0000000000E+000         4.6250000000E+001         -1.2395257069E+001        -1.2057093325E+001        -1.2323286580E+001        -1.3050888854E+001        2.9722185824E+000         0.0000000000E+000         2.1257925781E+004         1.1100000480E-002         1.1103823575E-002         1.1100814139E-002         1.1092588266E-002         1.0500000000E+002         4.0488961481E+002         2.4153082447E+002         7.1797633062E+000         2.9662860104E+002         0.0000000000E+000         1.0500000000E+002         
2018-02-08                23:40:49.587              38.98668504               935.680441                1518133249.587            0                         4.0094294677E+002         4.1730482834E+002         4.4990379962E+000         4.6822065589E+000         1.8715240989E+000         0.0000000000E+000         4.6250000000E+001         -1.2423650982E+001        -1.2181898380E+001        -1.2324627000E+001        -1.4553194425E+001        2.9729723336E+000         0.0000000000E+000         2.1219011719E+004         1.1099679474E-002         1.1102412597E-002         1.1100798985E-002         1.1075604021E-002         1.1000000000E+001         4.0488961481E+002         2.4153066409E+002         7.1946961397E+000         2.9670382571E+002         0.0000000000E+000         1.1000000000E+001         
2018-02-08                23:40:50.564              38.98669635               935.680712                1518133250.564            0                         4.0111174146E+002         4.1748049514E+002         4.4977232191E+000         4.6808382535E+000         1.8715240989E+000         0.0000000000E+000         4.6250000000E+001         -1.2423650982E+001        -1.2181898380E+001        -1.2324627000E+001        -1.4553194425E+001        2.9729723336E+000         0.0000000000E+000         2.1231339844E+004         1.1099679474E-002         1.1102412597E-002         1.1100798985E-002         1.1075604021E-002         1.0500000000E+002         4.0488961481E+002         2.4163210872E+002         7.1926584097E+000         2.9670382571E+002         0.0000000000E+000         1.0500000000E+002         
2018-02-08                23:40:51.566              38.98670795               935.680991                1518133251.566            0                         4.0050875560E+002         4.1685296001E+002         4.5014318601E+000         4.6846978838E+000         1.8715240989E+000         0.0000000000E+000         4.6250000000E+001         -1.2481683367E+001        -1.2384894011E+001        -1.2335250145E+001        -1.3824149561E+001        2.9729723336E+000         0.0000000000E+000         2.1212271484E+004         1.1099023392E-002         1.1100117640E-002         1.1100678886E-002         1.1083846204E-002         1.0500000000E+002         4.0488961481E+002         2.4126971769E+002         7.1983875178E+000         2.9670382571E+002         0.0000000000E+000         1.0500000000E+002         
